URL,MementosCount
"https://mj-records.net/product/MJRD-0039/
",0
"http://www.openculture.com/2019/02/dieter-rams-lists-the-10-timeless-principles-of-good-design.html
",5
"https://k-gen.fr/v-bts-fait-le-buzz-partout-dans-le-monde-avec-ses-cheveux-verts-aux-grammy-awards/
",0
"https://songwriternews.co.uk/2019/02/best-dramatic-music-ever/
",0
"https://www.amazon.com/Beats-Studio-Wireless-Over-Ear-Headphone/dp/B00HCGPD4I
",38
"https://www.youtube.com/watch?v=Nj2700em-JQ&feature=youtu.be
",8
"https://sports.v.daum.net/v/20190211183500785?f=m
",0
"https://www.ebay.com/itm/Fiskars-Large-Blue-Tote-Bag-for-Scrapbooking-Hobby-Arts-Crafts/352592099933?hash=item5218207a5d:g:qcwAAOSwQZVcOObr:sc:USPSPriority!76017!US!-1
",0
"https://www.youtube.com/watch?v=DxNTpsARTj0&feature=youtu.be
",0
"https://www.youtube.com/watch?v=_EfSs6-Pxx8&feature=youtu.be
",0
"https://natalie.mu/music/news/319555
",1
"https://www.youtube.com/watch?v=3qFWMyA0ZwE&app=desktop
",0
"http://www.genie.co.kr/VBKBJ5
",0
"https://www.complex.com/music/2019/02/katy-perry-shoes-are-being-pulled-from-shelves-amid-blackface-backlash?utm_campaign=complexmag&utm_source=facebook.com&utm_medium=social
",0
"https://itunes.apple.com/us/album/citizen-kane-single/1383157925?app=music&ign-itscg=1204&ign-mpt=uo%3D4
",0
"https://hstyles.co.uk/music#_=_
",140
"https://www.rappler.com/sports/university/uaap/223186-video-ateneo-lady-eagles-season-81
",0
"https://www.twitch.tv/rainbow6bravo
",0
"https://play.google.com/music/m/T6ddsfjvnppbnkscifzx5lsp6bi?t=I_Don_t_Even_Know_Why_Though_-_Alina_Baraz
",0
"https://www.ebay.com/itm/Vintage-MTV-Music-Television-TRL-Total-Request-Live-New-York-NYC-Navy-Visor-Hat/352592099953?hash=item5218207a71:g:LHcAAOSwiwZcOOB0
",0
"https://www.cricketcallrun.com/2018/12/windies-vs-england-3rd-test-live.html
",0
"https://www.youtube.com/watch?v=xTlNMmZKwpA&feature=youtu.be
",18
"https://www.youtube.com/watch?v=tjhwrBfZIHA&feature=youtu.be
",0
"https://www.facebook.com/bnk48official.music
",0
"http://music-kentei.net/kentei.html/1434160584/1/10/0
",0
"https://nana-music.com/sounds/04954fe2/
",0
"https://linkco.re/dspfcaGA
",0
"https://nana-music.com/sounds/04954fe3/
",0
"https://www.youtube.com/watch?v=ow-Cx9IX4So
",90
"https://play.google.com/store/music/artist/Very_very_Berry?id=Apw2juqqtdpufwejm5om3bhugwm
",0
"https://open.spotify.com/track/0rfaCJF6LIoFctIC2CFvQP?si=eRqSDK7oRCSCg6XRCF3dJA
",2
"http://balita.net.ph/2019/02/12/kathniel-waging-wagi-sa-50th-box-office-entertainment-awards/
",0
"http://artist-rack.com?O8tP3
",0
"https://www.pep.ph/guide/movies/29200/kathniel-fantastica-stars-lead-50th-guillermo-mendoza-box-office-awards-winners
",0
"https://www.youtube.com/watch?v=x0qiNsMVE1k&index=2&list=PLwwcnzQXp-aYWbYUGX5l0HygWstt7-mSb&t=0s&app=desktop
",0
"https://www.youtube.com/watch?v=77Fx11dRWPo&feature=youtu.be
",0
