URL,Estimate Creation Date
"https://mj-records.net/product/MJRD-0039/
",2018-10-11T04:26:11
"http://www.openculture.com/2019/02/dieter-rams-lists-the-10-timeless-principles-of-good-design.html
",2019-02-11T12:27:05
"https://k-gen.fr/v-bts-fait-le-buzz-partout-dans-le-monde-avec-ses-cheveux-verts-aux-grammy-awards/
",2019-02-11T17:00:44
"https://songwriternews.co.uk/2019/02/best-dramatic-music-ever/
",2019-02-12T01:19:45
"https://www.amazon.com/Beats-Studio-Wireless-Over-Ear-Headphone/dp/B00HCGPD4I
",2014-02-04T17:24:43
"https://www.youtube.com/watch?v=Nj2700em-JQ&feature=youtu.be
",2009-10-07T00:00:00
"https://sports.v.daum.net/v/20190211183500785?f=m
",2019-02-11T09:41:47
"https://www.ebay.com/itm/Fiskars-Large-Blue-Tote-Bag-for-Scrapbooking-Hobby-Arts-Crafts/352592099933?hash=item5218207a5d:g:qcwAAOSwQZVcOObr:sc:USPSPriority!76017!US!-1
",2019-02-12T01:43:32
"https://www.youtube.com/watch?v=DxNTpsARTj0&feature=youtu.be
",2018-04-27T00:00:00
"https://www.youtube.com/watch?v=_EfSs6-Pxx8&feature=youtu.be
",2019-01-25T00:00:00
"https://natalie.mu/music/news/319555
",2019-02-11T20:00:36
"https://www.youtube.com/watch?v=3qFWMyA0ZwE&app=desktop
",2019-02-11T20:19:32
"http://www.genie.co.kr/VBKBJ5
",2019-02-11T09:06:59
"https://www.complex.com/music/2019/02/katy-perry-shoes-are-being-pulled-from-shelves-amid-blackface-backlash?utm_campaign=complexmag&utm_source=facebook.com&utm_medium=social
",2019-02-11T21:33:38
"https://itunes.apple.com/us/album/citizen-kane-single/1383157925?app=music&ign-itscg=1204&ign-mpt=uo%3D4
",2019-02-14T00:50:15
"https://hstyles.co.uk/music#_=_
",2017-04-18T19:35:03
"https://www.rappler.com/sports/university/uaap/223186-video-ateneo-lady-eagles-season-81
",2019-02-11T12:48:57
"https://www.twitch.tv/rainbow6bravo
",2018-11-30T17:37:36
